Format,Size,Minify,Gzip,Score,LCP (s),FID (ms),CLS (s),FCP (s),SI (s),TTI (s),User CPU (%),System CPU (%),Memory RSS (Kb),Heap Total (Kb),Heap Used (Kb),JS Heap Used Size (Kb),JS Heap Total Size (Kb)
json,small,1,1,97,2.4052452000000004,16,0,1.579309725,1.579309725,2.4352490700000007,66467.595,7313.219,506384,311504,218967.65625,218967.65625,311504
json,small,1,1,97,2.40514095,16,0,1.5792352,1.5792352,2.43514404,67303.743,7418.011,506384,313552,228297.234375,228297.234375,313552
html,small,0,0,65,3.1864847,50,0.6540185681086246,2.9414847,2.9414847,3.1864847,68315.092,7548.793,510576,290784,227367.8671875,227367.8671875,290784
html,small,0,0,65,3.1857961500000003,49,0.6540185681086246,2.94079615,2.94079615,3.1857961500000003,69343.788,7684.806,510576,290528,224811.8203125,224811.8203125,290528
html,small,0,0,65,3.18511505,49,0.6540185681086246,2.9401150499999997,2.9401150499999997,3.1851150500000003,70355.205,7813.599,510608,295920,226057.4921875,226057.4921875,295920
html,small,0,0,64,3.1880458,48,0.7311115690619552,2.9490458,2.9490458,3.1880458,71370.965,7943.372,510592,291552,235561.5625,235561.5625,291552
html,small,0,0,64,3.18572525,36,0.8914198914992868,2.94672525,2.94672525,3.1857252500000004,72421.75,8081.174,510608,309984,232240.4609375,232240.4609375,309984
html,small,0,0,65,3.1858841,52,0.6540185681086246,2.9458841000000002,2.9458841000000002,3.1858841,73474.992,8217.398,510656,320752,226746.96875,226746.96875,320752
html,small,0,0,65,3.1901316,58,0.6540185681086246,2.9661316,2.9661316,3.1901316000000004,74575.928,8359.685,510720,308192,229573.09375,229573.09375,308192
html,small,0,0,65,3.18647605,54,0.6540185681086246,2.95947605,2.95947605,3.18647605,75691.248,8509.76,510960,319968,226159.9921875,226159.9921875,319968
html,small,0,0,64,3.1882202,42,0.7836899742989621,2.9502202,2.9502202,3.1882202,76834.153,8658.973,510992,325856,222849.546875,222849.546875,325856
html,small,0,0,65,3.1861527,50,0.6540185681086246,2.9431527,2.9431527,3.1861527000000005,77891.754,8798.143,511040,317664,229336.296875,229336.296875,317664
html,small,0,1,77,0.9382817,52,0.6540185681086246,0.7102817,0.7102817,0.9382817,78946.478,8940.389,510160,332384,227096.53125,227096.53125,332384
html,small,0,1,76,0.9376747000000001,36,0.8914198914992868,0.7106747,0.7106747,0.9376747000000001,80008.198,9075.624,510160,335968,224505.6328125,224505.6328125,335968
html,small,0,1,77,0.9372339,44,0.7105678892592486,0.6942339,0.6942339,0.9372339,81301.214,9249.561,514320,318560,226153.1640625,226153.1640625,318560
html,small,0,1,77,0.936885,54,0.6540185681086246,0.695885,0.695885,0.936885,82334.558,9384.701,514336,324192,227271.75,227271.75,324192
html,small,0,1,77,0.9366981,51,0.6540185681086246,0.6916981,0.6916981,0.9366981,83341.345,9518.585,514336,310624,228542.5390625,228542.5390625,310624
html,small,0,1,77,0.93755325,41,0.6968803088579503,0.69455325,0.69455325,0.9375532500000001,84352.649,9651.627,514336,318048,220656.4765625,220656.4765625,318048
html,small,0,1,77,0.9373196,48,0.6540185681086246,0.6943196,0.6943196,0.9373196,85344.949,9785.295,514368,329312,225357.1796875,225357.1796875,329312
html,small,0,1,77,0.93665625,49,0.6540185681086246,0.69365625,0.69365625,0.93665625,86333.732,9917.782,514384,313184,224064.1953125,224064.1953125,313184
html,small,0,1,77,0.9364198499999999,50,0.6540185681086246,0.69241985,0.69241985,0.9364198499999999,87323.237,10049.518,514400,326768,226342.7890625,226342.7890625,326768
html,small,0,1,77,0.9370474000000001,50,0.6540185681086246,0.6930474000000001,0.6930474000000001,0.9370474000000001,88324.659,10184.225,514384,322912,223206.0625,223206.0625,322912
json,medium,0,0,74,40.6156894,16,0,1.5793686249999996,1.5793686249999996,40.6381894,90942.444,10596.525,740832,602432,572291.46875,572291.46875,602432
json,medium,0,0,74,40.61736355,16,0,1.5817955499999998,1.5817955499999998,40.63986355,93300.585,10964.078,856816,704208,660070.875,660070.875,704208
json,medium,0,0,74,40.61429115000001,16,0,1.57913875,1.57913875,40.63679115000001,95982.129,11365.994,882176,633312,600801.3984375,600801.3984375,633312
json,medium,0,0,74,40.61482965,16,0,1.57908955,1.57908955,40.63732965,98312.206,11705.786,890720,705248,659444.1796875,659444.1796875,705248
