Format,Size,Minify,Gzip,Score,LCP (s),FID (ms),CLS (s),FCP (s),SI (s),TTI (s),User CPU (%),System CPU (%),Memory RSS (Kb),Heap Total (Kb),Heap Used (Kb),JS Heap Used Size (Kb),JS Heap Total Size (Kb)
json,small,1,0,77,6.46113975,16,0,1.579115025,1.579115025,6.49113975,56137.188,6037.013,506080,292464,226533.8203125,226533.8203125,292464
json,small,1,0,77,6.4607433,16,0,1.5787555750000002,1.5787555750000002,6.4907433,56973.522,6139.278,506096,297328,228903.3828125,228903.3828125,297328
json,small,1,0,77,6.462387349999999,16,0,1.5788102249999998,1.5788102249999998,6.492387349999999,57809.387,6244.528,506112,301664,218869.296875,218869.296875,301664
json,small,1,0,77,6.460879050000001,16,0,1.5787454000000003,1.5787454000000003,6.49087905,58674.463,6350.605,506176,309360,224382.9296875,224382.9296875,309360
json,small,1,1,97,2.4050809499999994,16,0,1.579181875,1.579181875,2.43508425,59533.189,6453.929,505248,298448,222216.1015625,222216.1015625,298448
json,small,1,1,97,2.4084258000000003,16,0,1.581965925,1.581965925,2.4384293100000005,60419.998,6564.547,505264,298192,217999.5625,217999.5625,298192
json,small,1,1,97,2.4052209,16,0,1.579298975,1.579298975,2.43522417,61252.911,6670.638,505296,295120,220936.46875,220936.46875,295120
json,small,1,1,97,2.4051907499999996,16,0,1.579282875,1.579282875,2.4351934500000003,62139.83,6781.526,506288,307408,224181.390625,224181.390625,307408
json,small,1,1,97,2.4047511,16,0,1.5789165,1.5789165,2.4347538,62955.846,6884.387,506272,306112,220459.6015625,220459.6015625,306112
json,small,1,1,97,2.4047947499999998,16,0,1.5789305499999997,1.5789305499999997,2.43479886,63802.525,6987.735,506352,306384,227327.90625,227327.90625,306384
json,small,1,1,97,2.4050190000000002,16,0,1.5791293,1.5791293,2.4350223600000005,64645.044,7088.341,506352,319696,219505.671875,219505.671875,319696
json,small,1,1,97,2.40670695,16,0,1.5805492249999997,1.5805492249999997,2.43670947,65607.591,7207.205,506352,312016,227347.3359375,227347.3359375,312016
